Major_Category_ID,Major_Category,Application_ID,Application,Category_ID,Category,SubCategory_ID,SubCategory
510,MAKEUP,10,LIPS,10,Lip Liner,16,All Lip Liner
510,MAKEUP,10,LIPS,11,Lipsticks,17,All Lipsticks
510,MAKEUP,10,LIPS,11,Lipsticks,M0,Palette
510,MAKEUP,10,LIPS,11,Lipsticks,M1,Pan Only
510,MAKEUP,10,LIPS,11,Lipsticks,MS,All Other Lipsticks
510,MAKEUP,10,LIPS,12,Lip Gloss,18,All Lip Gloss
510,MAKEUP,10,LIPS,12,Lip Gloss,M0,Palette
510,MAKEUP,10,LIPS,12,Lip Gloss,M1,Pan Only
510,MAKEUP,10,LIPS,12,Lip Gloss,MT,All Other Lip Gloss
510,MAKEUP,10,LIPS,13,Lip Primer,M2,All Lip Primer
510,MAKEUP,10,LIPS,1A,Lip Stains / Tints / Balms (Tinted),MR,All Lip Stains/Tints/Balms(Tinted)
510,MAKEUP,10,LIPS,2J,Liquid Lip,MQ,All Liquid Lip
510,MAKEUP,10,LIPS,14,All Other Lips,19,All Other Lips
510,MAKEUP,10,LIPS,14,All Other Lips,M0,Palette
510,MAKEUP,10,LIPS,14,All Other Lips,MU,All Other All Other Lips
510,MAKEUP,10,LIPS,96,Cross Category Sets,6A,All Cross Category Sets
510,MAKEUP,15,EYES,15,Mascara,M3,Lengthening
510,MAKEUP,15,EYES,15,Mascara,M4,Volumizing
510,MAKEUP,15,EYES,15,Mascara,M5,Defining
510,MAKEUP,15,EYES,15,Mascara,M6,Curling
510,MAKEUP,15,EYES,15,Mascara,M7,Multi-purpose
510,MAKEUP,15,EYES,15,Mascara,22,All Other Mascara
510,MAKEUP,15,EYES,19,Eyelash Primer,M8,All Eyelash Primer
510,MAKEUP,15,EYES,16,Eyebrow Liners/Shapers,23,All Eyebrow Liners/Shapers
510,MAKEUP,15,EYES,17,Eye Liners,A8,Liquid Eye Liners
510,MAKEUP,15,EYES,17,Eye Liners,A9,Pencil Eye Liners
510,MAKEUP,15,EYES,17,Eye Liners,M9,Gel Eye Liners
510,MAKEUP,15,EYES,17,Eye Liners,MA,Dual Ended Eyeliners
